locus_tag	gene_name	old_locus_tag	prokka_locus_tag	synonyms	start	end	strand	gene_product	gene_product_prokka	COG	uniprot	refseq
SACI_RS00095	Saci_0020	Saci_0020	Sacid_00020		13239.0	14261.0	-	TIGR00303 family protein	hypothetical protein	Coenzyme transport and metabolism	A0A0U3H3Q8	NC_007181.1
SACI_RS00100	Saci_0022	Saci_0022	Sacid_00021		14302.0	14658.0	+	hypothetical protein	hypothetical protein	No COG annotation	A0A0U3GUC4	NC_007181.1
SACI_RS00105	nadA	Saci_0023	Sacid_00022		14685.0	15683.0	+	quinolinate synthase NadA	Quinolinate synthase A	Coenzyme transport and metabolism	UPI0000552108	NC_007181.1
SACI_RS00110	kynu	Saci_0024	Sacid_00023		15604.0	16728.0	-	"Selenocysteine lyase, aminotransferase class V-fold PLP-dependent enzyme"	Kynureninase	Amino acid transport and metabolism	A0A0U3FP60	NC_007181.1
SACI_RS00115	acs	Saci_0025	Sacid_00024		16715.0	18421.0	-	AMP-binding protein	Acetyl-coenzyme A synthetase	Lipid transport and metabolism	A0A0U2NAH0	NC_007181.1
SACI_RS00120	Saci_0026	Saci_0026	Sacid_00025		18433.0	18909.0	-	NOB1 family endonuclease	hypothetical protein	Defense mechanisms	A0A0U3HFG5	NC_007181.1
SACI_RS00125	nadK	Saci_0027	Sacid_00026		18899.0	19645.0	-	NAD(+)/NADH kinase	NAD kinase	Nucleotide transport and metabolism	A0A0U3FGV3	NC_007181.1
SACI_RS00130	Saci_0028	Saci_0028	Sacid_00027		19654.0	20007.0	-	hypothetical protein	hypothetical protein	No COG annotation	A0A0U3F8U1	NC_007181.1
SACI_RS00135	Saci_0029	Saci_0029	Sacid_00028		20087.0	21088.0	+	NAD(P)/FAD-dependent oxidoreductase	Ferredoxin--NADP reductase	"Post-translational modification, protein turnover,and chaperones"	A0A0U3FYH3	NC_007181.1
SACI_RS00140	Saci_0030	Saci_0030	Sacid_00029		21085.0	21975.0	+	methyltransferase domain-containing protein	hypothetical protein	"Translation, ribosomal structure and biogenesis"	A0A0U2X1J8	NC_007181.1
SACI_RS11510	Saci_0031	Saci_0031	Sacid_00030		21901.0	22383.0	-	DUF371 domain-containing protein	hypothetical protein	Function unknown	A0A0U3H4L1	NC_007181.1
SACI_RS00145	Saci_0032	Saci_0032	Sacid_00031		22370.0	22651.0	-	YhbY family RNA-binding protein	hypothetical protein	"Translation, ribosomal structure and biogenesis"	UPI0002B2998B	NC_007181.1
SACI_RS11515	Saci_0033	Saci_0033			22557.0	22913.0	-	ribonuclease P		"Translation, ribosomal structure and biogenesis"	UPI0000552112	NC_007181.1
SACI_RS00150	Saci_0034	Saci_0034	Sacid_00032		22932.0	23591.0	+	16S rRNA methyltransferase	hypothetical protein	"Translation, ribosomal structure and biogenesis"	UPI0000552113	NC_007181.1
SACI_RS00155	Saci_0035	Saci_0035	Sacid_00033		23574.0	24155.0	-	hypothetical protein	hypothetical protein	No COG annotation	A0A0U3GX03	NC_007181.1
SACI_RS00160	Saci_0037	Saci_0037	Sacid_00035		24505.0	25560.0	-	hypothetical protein	hypothetical protein	Amino acid transport and metabolism	A0A0U3HBD1	NC_007181.1
SACI_RS00165	mqnD	Saci_0038	Sacid_00036		25618.0	26484.0	-	ABC transporter substrate-binding protein	"1,4-dihydroxy-6-naphtoate synthase"	Coenzyme transport and metabolism	A0A0U3FX22	NC_007181.1
SACI_RS00170	Saci_0039	Saci_0039	Sacid_00037		26513.0	27022.0	+	DUF84 family protein	Inosine/xanthosine triphosphatase	Nucleotide transport and metabolism	A0A0U2NGA1	NC_007181.1
SACI_RS00175	Saci_0040	Saci_0040	Sacid_00038		27019.0	27600.0	-	hypothetical protein	hypothetical protein	No COG annotation	A0A0U3HMY4	NC_007181.1
SACI_RS00180	trxA	Saci_0041	Sacid_00039		27676.0	28014.0	-	thioredoxin	Thioredoxin	"Post-translational modification, protein turnover,and chaperones"	A0A0U2Y1X2	NC_007181.1
SACI_RS00185	Saci_0042	Saci_0042	Sacid_00040		28098.0	28811.0	+	D-aminoacyl-tRNA deacylase	hypothetical protein	Function unknown	A0A0U3FGG2	NC_007181.1
SACI_RS00190	pspB	Saci_0043	Sacid_00041		28791.0	29417.0	-	histidine phosphatase family protein	Putative phosphoserine phosphatase 2	Carbohydrate transport and metabolism	A0A0U3H3Q3	NC_007181.1
SACI_RS00195	IMPDH_1	Saci_0044	Sacid_00042		29614.0	30108.0	+	CBS domain-containing protein	Inosine-5'-monophosphate dehydrogenase	Function unknown	A0A0U3GVE4	NC_007181.1
SACI_RS00200	Saci_0045	Saci_0045	Sacid_00043		30140.0	30481.0	+	hypothetical protein	hypothetical protein	No COG annotation	A0A0U2NAF9	NC_007181.1
SACI_RS00205	clsN	Saci_0046	Sacid_00044		30432.0	32177.0	-	Coalesin	hypothetical protein	No COG annotation	A0A0U3HFF5	NC_007181.1
SACI_RS00210	rihA_1	Saci_0047	Sacid_00045		32386.0	33312.0	+	nucleoside hydrolase	Pyrimidine-specific ribonucleoside hydrolase RihA	Nucleotide transport and metabolism	A0A0U3GPP9	NC_007181.1
SACI_RS00215	Saci_0048	Saci_0048	Sacid_00046		33275.0	33697.0	-	transcriptional repressor	hypothetical protein	Transcription	A0A0U2W5E0	NC_007181.1
SACI_RS00220	Saci_0049	Saci_0049	Sacid_00047		34242.0	34703.0	+	hypothetical protein	hypothetical protein	No COG annotation	A0A0U3GLA1	NC_007181.1
SACI_RS00225	Saci_0050	Saci_0050	Sacid_00048		34784.0	35782.0	-	DNA double-strand break repair nuclease NurA	hypothetical protein	Function unknown	A0A0U2X1I6	NC_007181.1
SACI_RS00230	smc_1	Saci_0051	Sacid_00049		35772.0	38432.0	-	AAA family ATPase	Chromosome partition protein Smc	"Replication, recombination and repair"	A0A0U3H4J7	NC_007181.1
SACI_RS00235	cpdA	Saci_0052	Sacid_00050		38429.0	39577.0	-	exonuclease SbcCD subunit D	"3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA"	"Replication, recombination and repair"	A0A0U3HBD0	NC_007181.1
SACI_RS00240	Saci_0053	Saci_0053	Sacid_00051		39583.0	41070.0	-	ATP-binding protein	hypothetical protein	"Replication, recombination and repair"	A0A0U3GHC8	NC_007181.1
SACI_RS00245	Saci_0054	Saci_0054	Sacid_00052		41173.0	41547.0	-	hypothetical protein	hypothetical protein	No COG annotation	A0A0U3FX00	NC_007181.1
SACI_RS00250	Saci_0055	Saci_0055	Sacid_00053		41687.0	42094.0	-	hypothetical protein	hypothetical protein	No COG annotation	A0A0U3FQ04	NC_007181.1
SACI_RS00255	nnr	Saci_0057	Sacid_00054		42224.0	43735.0	+	bifunctional ADP-dependent NAD(P)H-hydrate dehydratase/NAD(P)H-hydrate epimerase	Bifunctional NAD(P)H-hydrate repair enzyme Nnr	Carbohydrate transport and metabolism	A0A0U2WTV7	NC_007181.1
SACI_RS00260	bcpB	Saci_0058	Sacid_00055		43732.0	44193.0	-	peroxiredoxin	Putative peroxiredoxin	"Post-translational modification, protein turnover,and chaperones"	A0A0U2Y1V6	NC_007181.1
SACI_RS00265	ppcA	Saci_0059	Sacid_00056		44258.0	45793.0	+	phosphoenolpyruvate carboxylase	Phosphoenolpyruvate carboxylase	Carbohydrate transport and metabolism	A0A0U3FGE5	NC_007181.1
SACI_RS00270	Saci_0060	Saci_0060	Sacid_00057		45790.0	46605.0	+	hypothetical protein	hypothetical protein	Function unknown	A0A0U3H3P2	NC_007181.1
SACI_RS00275	meaB	Saci_0061	Sacid_00058		46630.0	47589.0	-	"Lysine arginine ornithine transport system kinase, methylmalonyl Co-A mutase-associated GTPase MeaB"	putative GTPase	Amino acid transport and metabolism	A0A0U3FP30	NC_007181.1
SACI_RS00280	scpA	Saci_0062	Sacid_00059		47573.0	47995.0	-	cobalamin B12-binding domain-containing protein	Methylmalonyl-CoA mutase	Lipid transport and metabolism	A0A0U3HC99	NC_007181.1
SACI_RS00290	Saci_0064	Saci_0064	Sacid_00061		48401.0	48601.0	+	DNA-binding protein	hypothetical protein	"Translation, ribosomal structure and biogenesis"	A0A0U3H459	NC_007181.1
SACI_RS00295	Saci_0065	Saci_0065	Sacid_00062		48720.0	49055.0	+	hypothetical protein	hypothetical protein	Function unknown	A0A0U3FGS1	NC_007181.1
SACI_RS00305	lysS	Saci_0067	Sacid_00063		49408.0	50886.0	+	lysine--tRNA ligase	Lysine--tRNA ligase	"Translation, ribosomal structure and biogenesis"	A0A0U3HCX8	NC_007181.1
SACI_RS00310	Saci_0068	Saci_0068	Sacid_00064		50870.0	51946.0	-	site-2 protease family protein	hypothetical protein	Cell wall/membrane/envelope biogenesis	A0A0U3F8Q8	NC_007181.1
SACI_RS00315	Saci_0069	Saci_0069	Sacid_00065		51981.0	52646.0	+	nucleotidyltransferase domain-containing protein	hypothetical protein	Function unknown	A0A0U3GL87	NC_007181.1
SACI_RS00320	Saci_0070	Saci_0070	Sacid_00066		52633.0	53166.0	+	DUF1122 family protein	hypothetical protein	Function unknown	A0A0U2X1H6	NC_007181.1
SACI_RS00325	Saci_0071	Saci_0071	Sacid_00067		53147.0	54160.0	+	radical SAM protein	hypothetical protein	Function unknown	A0A0U3H4I9	NC_007181.1
SACI_RS00330	Saci_0072	Saci_0072	Sacid_00068		54137.0	55165.0	-	mRNA surveillance protein pelota	hypothetical protein	"Translation, ribosomal structure and biogenesis"	A0A0U3GWX2	NC_007181.1
SACI_RS00335	rimI	Saci_0073	Sacid_00069		55188.0	55652.0	+	ribosomal protein S18-alanine N-acetyltransferase	hypothetical protein	Energy production and conversion	A0A0U3HBA2	NC_007181.1
SACI_RS00340	polB	Saci_0074	Sacid_00070		55685.0	58033.0	+	DNA polymerase II	DNA polymerase II	"Replication, recombination and repair"	A0A0U3FWY9	NC_007181.1
SACI_RS00345	Saci_0075	Saci_0075	Sacid_00071		58023.0	59261.0	-	DNA primase	hypothetical protein	"Replication, recombination and repair"	A0A0U2NG65	NC_007181.1
SACI_RS00350	Saci_0076	Saci_0076	Sacid_00072		59271.0	60356.0	-	tyrosine--tRNA ligase	hypothetical protein	"Translation, ribosomal structure and biogenesis"	A0A0U2WTT9	NC_007181.1
SACI_RS00355	Saci_0077	Saci_0077	Sacid_00073		60401.0	60751.0	-	hypothetical protein	hypothetical protein	No COG annotation	A0A0U3FP99	NC_007181.1
SACI_RS00360	Saci_0078	Saci_0078	Sacid_00074		60797.0	61237.0	-	YjbQ family protein	hypothetical protein	Function unknown	A0A0U3H3J8	NC_007181.1
SACI_RS00365	Saci_0079	Saci_0079	Sacid_00075		61236.0	62510.0	+	AIR synthase	hypothetical protein	"Post-translational modification, protein turnover,and chaperones"	A0A0U3H3M6	NC_007181.1
SACI_RS00370	Saci_0080	Saci_0080	Sacid_00076		62537.0	63049.0	+	30S ribosomal protein S13	hypothetical protein	"Translation, ribosomal structure and biogenesis"	A0A0U3FP18	NC_007181.1
SACI_RS00375	Saci_0081	Saci_0081	Sacid_00077		63067.0	63597.0	+	30S ribosomal protein S4	hypothetical protein	"Translation, ribosomal structure and biogenesis"	A0A0U2NAE0	NC_007181.1
SACI_RS00380	rpsK	Saci_0082	Sacid_00078		63581.0	63979.0	+	30S ribosomal protein S11	30S ribosomal protein S11	"Translation, ribosomal structure and biogenesis"	A0A0U3HFC3	NC_007181.1
SACI_RS00385	Saci_0083	Saci_0083	Sacid_00079		63991.0	64785.0	+	DNA-directed RNA polymerase subunit D	hypothetical protein	Transcription	A0A0U3FGQ5	NC_007181.1
SACI_RS00390	Saci_0084	Saci_0084	Sacid_00080		64785.0	65141.0	+	50S ribosomal protein L18e	hypothetical protein	"Translation, ribosomal structure and biogenesis"	A0A0U3F8P0	NC_007181.1
SACI_RS00395	Saci_0085	Saci_0085	Sacid_00081		65138.0	65584.0	+	50S ribosomal protein L13	hypothetical protein	"Translation, ribosomal structure and biogenesis"	A0A0U3FYD7	NC_007181.1
SACI_RS00400	rpsI	Saci_0086	Sacid_00082		65581.0	65997.0	+	30S ribosomal protein S9	30S ribosomal protein S9	"Translation, ribosomal structure and biogenesis"	A0A0U2X1F8	NC_007181.1
SACI_RS00405	Saci_0087	Saci_0087	Sacid_00083		66004.0	66204.0	+	DNA-directed RNA polymerase subunit N	hypothetical protein	Transcription	A0A0U3H4H5	NC_007181.1
SACI_RS00410	Saci_0088	Saci_0088	Sacid_00084		66214.0	66891.0	+	30S ribosomal protein S2	hypothetical protein	"Translation, ribosomal structure and biogenesis"	A0A0U3HBA1	NC_007181.1
SACI_RS00415	amrB	Saci_0089	Sacid_00085		66888.0	67742.0	+	AmmeMemoRadiSam system protein B	hypothetical protein	Function unknown	A0A0U3GH96	NC_007181.1
SACI_RS00420	Saci_0090	Saci_0090	Sacid_00086		67735.0	68421.0	+	hypothetical protein	hypothetical protein	No COG annotation	A0A0U3FWX5	NC_007181.1
SACI_RS00425	fni	Saci_0091	Sacid_00087		68396.0	69499.0	+	type 2 isopentenyl-diphosphate Delta-isomerase	Isopentenyl-diphosphate delta-isomerase	Coenzyme transport and metabolism	UPI0009B5A7FC	NC_007181.1
SACI_RS00430	ispB	Saci_0092	Sacid_00088		69496.0	70488.0	+	polyprenyl synthetase family protein	Octaprenyl diphosphate synthase	Coenzyme transport and metabolism	A0A0U2WTS7	NC_007181.1
SACI_RS00435	tagO	Saci_0093	Sacid_00089		70488.0	71474.0	+	UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase	putative undecaprenyl-phosphate N-acetylglucosaminyl 1-phosphate transferase	Cell wall/membrane/envelope biogenesis	A0A0U2Y1S9	NC_007181.1
SACI_RS00440	ppaX	Saci_0094	Sacid_00090		71474.0	72148.0	+	HAD family phosphatase	Pyrophosphatase PpaX	Function unknown	A0A0U3H3I2	NC_007181.1
SACI_RS00455	doxB	Saci_0097	Sacid_00092		72941.0	74701.0	+	cbb3-type cytochrome c oxidase subunit I (DoxBCE complex component)	hypothetical protein	Energy production and conversion	A0A0U3HCX6	NC_007181.1
SACI_RS00460	doxC	Saci_0098	Sacid_00093		74714.0	75799.0	+	DoxBCE complex component	hypothetical protein	No COG annotation	A0A0U3FYM5	NC_007181.1
SACI_RS00465	doxE	Saci_0099	Sacid_00094		75808.0	75993.0	+	DoxBCE complex component	hypothetical protein	No COG annotation	A0A0U3GQK2	NC_007181.1
SACI_RS00470	ycfH_1	Saci_0100	Sacid_00095		76005.0	76736.0	-	TatD family hydrolase	putative metal-dependent hydrolase YcfH	"Replication, recombination and repair"	A0A0U3GU67	NC_007181.1
SACI_RS00475	Saci_0101	Saci_0101	Sacid_00096		76782.0	76943.0	-	AbrB/MazE/SpoVT family DNA-binding domain-containing protein	hypothetical protein	Transcription	A0A0U3FP02	NC_007181.1
SACI_RS11785	SACI_RS11785				76954.0	77094.0	-	DUF1836 domain-containing protein		No COG annotation	UPI0011BD5F4A	NC_007181.1
SACI_RS00480	Saci_0102	Saci_0102	Sacid_00097		77181.0	77561.0	+	ArsR family transcriptional regulator	hypothetical protein	Transcription	A0A0U3HC64	NC_007181.1
SACI_RS00485	Saci_0103	Saci_0103	Sacid_00098		77583.0	78254.0	-	diphthine--ammonia ligase	hypothetical protein	Function unknown	A0A0U3HFA7	NC_007181.1
SACI_RS00490	Saci_0104	Saci_0104	Sacid_00099		78251.0	78718.0	-	hypothetical protein	hypothetical protein	"Secondary metabolites biosynthesis, transport, and catabolism"	A0A0U3FGP0	NC_007181.1
SACI_RS00495	mobA_1	Saci_0105	Sacid_00100		78712.0	79299.0	-	molybdenum cofactor guanylyltransferase	putative molybdenum cofactor guanylyltransferase	Coenzyme transport and metabolism	A0A0U3F8M3	NC_007181.1
SACI_RS00500	Saci_0106	Saci_0106	Sacid_00101		79274.0	80443.0	-	molybdopterin molybdotransferase MoeA	hypothetical protein	Coenzyme transport and metabolism	A0A0U3GL55	NC_007181.1
SACI_RS00505	mobB	Saci_0107	Sacid_00102		80463.0	80978.0	+	molybdopterin-guanine dinucleotide biosynthesis protein B	hypothetical protein	Coenzyme transport and metabolism	A0A0U2X1E2	NC_007181.1
SACI_RS00510	COQ5_1	Saci_0108	Sacid_00103		81151.0	81846.0	+	class I SAM-dependent methyltransferase	"2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial"	"Secondary metabolites biosynthesis, transport, and catabolism"	A0A0U3GMD0	NC_007181.1
SACI_RS00515	Saci_0109	Saci_0109	Sacid_00104		81827.0	82237.0	-	hypothetical protein	hypothetical protein	No COG annotation	A0A0U3HB84	NC_007181.1
SACI_RS00520	Saci_0110	Saci_0110	Sacid_00105		82213.0	82614.0	-	hypothetical protein	hypothetical protein	No COG annotation	UPI0000552152	NC_007181.1
SACI_RS00525	Saci_0111	Saci_0111	Sacid_00106		82751.0	83005.0	+	hypothetical protein	hypothetical protein	No COG annotation	A0A0U3FWV5	NC_007181.1
SACI_RS00530	mntR	Saci_0112	Sacid_00107		83009.0	83653.0	+	metal-dependent transcriptional regulator	HTH-type transcriptional regulator MntR	Transcription	A0A0U2NG24	NC_007181.1
SACI_RS00535	Saci_0113	Saci_0113	Sacid_00108		83637.0	84857.0	+	DUF4147 domain-containing protein	D-glycerate 2-kinase	Carbohydrate transport and metabolism	UPI0002B26A69	NC_007181.1
SACI_RS00545	Saci_0114	Saci_0114	Sacid_00110		85270.0	86070.0	+	ABC transporter permease	hypothetical protein	Inorganic ion transport and metabolism	A0A0U2WTR5	NC_007181.1
SACI_RS00550	Saci_0116	Saci_0116	Sacid_00111		86173.0	86481.0	+	hypothetical protein	hypothetical protein	No COG annotation	A0A0U2Y1R8	NC_007181.1
SACI_RS00555	tpiA	Saci_0117	Sacid_00112		86487.0	87179.0	-	triose-phosphate isomerase	Triosephosphate isomerase	Carbohydrate transport and metabolism	A0A0U3H3G6	NC_007181.1
SACI_RS00560	Saci_0118	Saci_0118	Sacid_00113		87193.0	87738.0	+	hypothetical protein	hypothetical protein	Function unknown	A0A0U3H3J1	NC_007181.1
SACI_RS00565	Saci_0119	Saci_0119	Sacid_00114		87713.0	89284.0	-	cation:proton antiporter	hypothetical protein	Inorganic ion transport and metabolism	A0A0U3HC48	NC_007181.1
SACI_RS00570	Saci_0120	Saci_0120	Sacid_00115		89673.0	90632.0	+	esterase	hypothetical protein	Function unknown	A0A0U2NAC1	NC_007181.1
SACI_RS00575	Saci_0121	Saci_0121	Sacid_00117		90953.0	91405.0	-	8-oxo-dGTP diphosphatase	hypothetical protein	"Replication, recombination and repair"	A0A0U3GPJ2	NC_007181.1
SACI_RS00580	fumC	Saci_0122	Sacid_00118		91411.0	92727.0	-	class II fumarate hydratase	Fumarate hydratase class II	Energy production and conversion	A0A0U3HF92	NC_007181.1
SACI_RS00585	Saci_0123	Saci_0123	Sacid_00119		92849.0	93445.0	+	MBL fold metallo-hydrolase	putative protein	Function unknown	A0A0U3FYA5	NC_007181.1
SACI_RS00590	Saci_0124	Saci_0124	Sacid_00120		93482.0	94768.0	+	glycosyltransferase	hypothetical protein	Cell wall/membrane/envelope biogenesis	A0A0U2X1C6	NC_007181.1
SACI_RS00595	Saci_0125	Saci_0125	Sacid_00121		94881.0	97319.0	+	MMPL family transporter	hypothetical protein	"Replication, recombination and repair"	A0A0U3GK54	NC_007181.1
SACI_RS00600	tmcA_1	Saci_0127	Sacid_00122		97397.0	99625.0	+	tRNA(Met) cytidine acetyltransferase	tRNA(Met) cytidine acetyltransferase TmcA	"Translation, ribosomal structure and biogenesis"	A0A0U2Y9H3	NC_007181.1
SACI_RS00605	Saci_0128	Saci_0128	Sacid_00123		99663.0	100643.0	+	stage II sporulation protein M	hypothetical protein	No COG annotation	A0A0U3GMB5	NC_007181.1
SACI_RS00610	exoA	Saci_0129	Sacid_00124	xth	100629.0	101354.0	-	exodeoxyribonuclease III	Exodeoxyribonuclease	"Replication, recombination and repair"	A0A0U3H4E1	NC_007181.1
SACI_RS00615	Saci_0130	Saci_0130	Sacid_00125		101617.0	101877.0	+	sulfurtransferase TusA family protein	hypothetical protein	Function unknown	A0A0U3GWR9	NC_007181.1
SACI_RS00620	Saci_0131	Saci_0131	Sacid_00126		101944.0	103008.0	-	DUF1641 domain-containing protein	hypothetical protein	Function unknown	A0A0U2W0H0	NC_007181.1
SACI_RS00625	Saci_0132	Saci_0132	Sacid_00127		103217.0	103636.0	-	hypothetical protein	hypothetical protein	No COG annotation	A0A0U3FHY7	NC_007181.1
SACI_RS00630	Saci_0133	Saci_0133	Sacid_00128		103892.0	104302.0	+	MarR family transcriptional regulator	hypothetical protein	Transcription	A0A0U2NG11	NC_007181.1
SACI_RS00635	Saci_0134	Saci_0134	Sacid_00129		104311.0	105249.0	+	NAD-dependent epimerase/dehydratase family protein	hypothetical protein	Cell wall/membrane/envelope biogenesis	A0A0U2VWM5	NC_007181.1
SACI_RS00640	Saci_0135	Saci_0135	Sacid_00130		105251.0	106054.0	-	aldo/keto reductase	hypothetical protein	Function unknown	A0A0U3FP48	NC_007181.1
SACI_RS00645	lpdV	Saci_0136	Sacid_00131		106051.0	107295.0	-	NAD(P)/FAD-dependent oxidoreductase	Dihydrolipoyl dehydrogenase	Energy production and conversion	A0A0U3FG68	NC_007181.1
SACI_RS00650	thiC	Saci_0137	Sacid_00132	bzaF	107432.0	108718.0	+	phosphomethylpyrimidine synthase ThiC	5-hydroxybenzimidazole synthase	Coenzyme transport and metabolism	A0A0U2Y1Q4	NC_007181.1
SACI_RS00655	Saci_0138	Saci_0138	Sacid_00133		108774.0	109628.0	+	translation elongation factor	hypothetical protein	"Translation, ribosomal structure and biogenesis"	A0A0U3H3F0	NC_007181.1
SACI_RS00660	SACI_RS00660		Sacid_00134		109767.0	110435.0	+	prepilin peptidase	hypothetical protein	Cell motility	UPI0009B5AD12	NC_007181.1
SACI_RS00665	Saci_0140	Saci_0140	Sacid_00135		110503.0	111342.0	+	DUF973 family protein	hypothetical protein	No COG annotation	A0A0U3FNX1	NC_007181.1
SACI_RS00670	Saci_0141	Saci_0141	Sacid_00136		111332.0	112000.0	-	creatininase family protein	hypothetical protein	Coenzyme transport and metabolism	A0A0U3GPI0	NC_007181.1
SACI_RS00675	SACI_RS00675		Sacid_00137		112370.0	113017.0	-	hypothetical protein	putative transporter	Inorganic ion transport and metabolism	A0A0U2W555	NC_007181.1
SACI_RS00680	SACI_RS00680		Sacid_00138		113025.0	113624.0	-	citrate transporter	hypothetical protein	Inorganic ion transport and metabolism	M1IME1	NC_007181.1
SACI_RS00685	Saci_0144	Saci_0144	Sacid_00139		113681.0	114820.0	+	MFS transporter	hypothetical protein	Amino acid transport and metabolism	A0A0U3FGK7	NC_007181.1
SACI_RS00690	Saci_0145	Saci_0145	Sacid_00140		114813.0	115748.0	-	acyl-CoA thioesterase	hypothetical protein	Lipid transport and metabolism	UPI0000552171	NC_007181.1
SACI_RS00695	Saci_0146	Saci_0146	Sacid_00141		115735.0	116127.0	-	hypothetical protein	hypothetical protein	No COG annotation	A0A0U3GL29	NC_007181.1
SACI_RS00700	Saci_0147	Saci_0147	Sacid_00142		116128.0	117948.0	-	ATP-binding protein	hypothetical protein	"Replication, recombination and repair"	A0A0U3HB51	NC_007181.1
SACI_RS00705	Saci_0148	Saci_0148	Sacid_00143		117938.0	119026.0	-	DNA double-strand break repair nuclease NurA	hypothetical protein	Function unknown	A0A0U3HB39	NC_007181.1
SACI_RS00710	npr	Saci_0149	Sacid_00144		119093.0	120415.0	-	FAD-dependent oxidoreductase	NADH peroxidase	Inorganic ion transport and metabolism	A0A0U2WWR4	NC_007181.1
SACI_RS11970	Saci_0150	Saci_0150	Sacid_00145		120774.0	121208.0	+	hypothetical protein	hypothetical protein	No COG annotation	A0A0U3FWS9	NC_007181.1
SACI_RS00720	Saci_0151	Saci_0151	Sacid_00146		121201.0	122121.0	+	bifunctional phosphoglucose/phosphomannose isomerase	hypothetical protein	Carbohydrate transport and metabolism	A0A0U3GH45	NC_007181.1
SACI_RS00725	cysS	Saci_0152	Sacid_00147		122124.0	123533.0	+	cysteine--tRNA ligase	Cysteine--tRNA ligase	"Translation, ribosomal structure and biogenesis"	A0A0U3HMN3	NC_007181.1
SACI_RS00730	rppH	Saci_0153	Sacid_00148		123514.0	123954.0	-	NUDIX hydrolase	RNA pyrophosphohydrolase	"Replication, recombination and repair"	A0A0U3FPU3	NC_007181.1
